iter,t-statistic,pvalue,pcutoff
618,2.363948679,0.018457,no
619,1.99990795,0.046042,no
620,3.72654309,0.000216,no
621,1.512424961,0.131048,yes
622,3.297491637,0.001044,no
623,3.748432035,0.000198,no
624,3.973753461,8.10E-05,no
625,3.268430502,0.001155,no
626,4.191301052,3.30E-05,no
627,4.084071964,5.10E-05,no
628,3.446370794,0.000615,no
629,2.513821765,0.012251,no
630,2.585140967,0.010011,no
631,4.602487659,5.00E-06,no
632,1.219368133,0.22327,yes
633,3.21049619,0.001409,no
634,4.308417307,2.00E-05,no
635,3.529625823,0.000454,no
636,4.217731251,2.90E-05,no
637,1.450017165,0.147671,yes
638,1.399393096,0.162305,yes
639,4.095299096,4.90E-05,no
640,1.46304489,0.144074,yes
641,2.739009998,0.006379,no
642,1.715526913,0.086858,yes
643,2.630554993,0.008783,no
644,3.275433007,0.001127,no
645,2.389219419,0.017248,no
646,3.79947454,0.000163,no
647,2.277366685,0.023179,no
648,4.081589329,5.20E-05,no
649,2.714170084,0.00687,no
650,3.687584718,0.000251,no
651,4.177792557,3.50E-05,no
652,4.50458909,8.00E-06,no
653,4.351813684,1.60E-05,no
654,3.814291958,0.000153,no
655,2.938113754,0.003452,no
656,0.553046087,0.580475,yes
657,1.039978799,0.298844,yes
658,3.576021527,0.000382,no
659,3.774059673,0.00018,no
660,4.313527568,1.90E-05,no
661,4.132001945,4.20E-05,no
662,2.955041395,0.003271,no
663,4.729398129,3.00E-06,no
664,4.0387205,6.20E-05,no
665,4.249432338,2.60E-05,no
666,2.507384664,0.012474,no
667,3.65843458,0.00028,no
668,4.075197841,5.30E-05,no
669,4.69801488,3.00E-06,no
670,2.043854305,0.041483,no
671,4.226987632,2.80E-05,no
672,3.853433897,0.000131,no
673,3.494948064,0.000516,no
674,4.575326963,6.00E-06,no
675,2.215179443,0.027191,no
676,4.807564241,2.00E-06,no
677,4.119410973,4.40E-05,no
678,4.388672597,1.40E-05,no
679,3.300263734,0.001034,no
680,1.849907926,0.064907,yes
681,2.370555227,0.018134,no
682,3.239712298,0.001275,no
683,2.733530296,0.006485,no
684,1.763177843,0.078472,yes
685,2.355333408,0.018885,no
686,3.794201665,0.000166,no
687,3.035369778,0.002526,no
688,0.998266072,0.318626,yes
689,4.056417652,5.80E-05,no
690,3.049056742,0.002415,no
691,4.548574374,7.00E-06,no
692,4.968894213,1.00E-06,no
693,3.574142744,0.000385,no
694,4.665981698,4.00E-06,no
695,3.122608204,0.001895,no
696,3.526403827,0.000459,no
697,4.2575095,2.50E-05,no
698,3.688032827,0.00025,no
699,4.241975827,2.60E-05,no
700,4.245638265,2.60E-05,no
701,3.57629967,0.000382,no
702,0.722467166,0.47034,yes
703,1.926525621,0.054596,yes
704,5.477134368,0,no
705,4.450472551,1.10E-05,no
706,2.943534564,0.003393,no
707,3.971999715,8.20E-05,no
708,2.089558791,0.037154,no
709,3.397929449,0.000732,no
710,3.549114114,0.000422,no
711,3.532947228,0.000448,no
712,4.90691335,1.00E-06,no
713,3.441661038,0.000626,no
714,3.844367861,0.000136,no
715,1.97170875,0.049185,no
716,3.713530079,0.000227,no
717,0.836779021,0.40311,yes
718,3.997147101,7.40E-05,no
719,4.529496715,7.00E-06,no
720,0.767270255,0.443277,yes
721,3.6103688,0.000336,no
722,1.956699115,0.05093,yes
723,4.226383194,2.80E-05,no
724,3.670044943,0.000268,no
725,3.138935125,0.001794,no
726,3.744304867,0.000202,no
727,2.112933717,0.035094,no
728,3.81600851,0.000152,no
729,3.430931118,0.000651,no
730,3.19256112,0.001498,no
731,2.219780937,0.026874,no
732,4.53701276,7.00E-06,no
733,4.581228499,6.00E-06,no
734,2.864250988,0.004353,no
735,3.813913657,0.000154,no
736,1.975718181,0.048727,no
737,2.814931407,0.005068,no
738,3.888536866,0.000114,no
739,4.332643047,1.80E-05,no
740,3.496925865,0.000512,no
741,2.981644508,0.003005,no
742,2.740955856,0.006342,no
743,4.28944561,2.10E-05,no
744,2.355686091,0.018868,no
745,2.282750818,0.022857,no
746,3.175131187,0.001589,no
747,4.082596797,5.20E-05,no
748,2.942326423,0.003406,no
749,3.126613969,0.00187,no
750,4.506200169,8.00E-06,no
751,2.899126126,0.003904,no
752,3.863923558,0.000126,no
753,4.881740259,1.00E-06,no
754,3.212902019,0.001397,no
755,4.461291333,1.00E-05,no
756,3.687312635,0.000251,no
757,2.211027748,0.027479,no
758,4.384142296,1.40E-05,no
759,3.234552453,0.001298,no
760,2.603999935,0.009484,no
761,1.816626827,0.069863,yes
762,3.495591092,0.000514,no
763,3.565939799,0.000397,no
764,2.419335825,0.015899,no
765,2.766168515,0.005879,no
766,4.160537693,3.70E-05,no
767,3.918089079,0.000101,no
768,4.654886534,4.00E-06,no
769,1.672743777,0.094993,yes
770,4.780035884,2.00E-06,no
771,1.983022699,0.047903,no
772,1.636516065,0.102351,yes
773,1.585231221,0.113536,yes
774,1.870097939,0.062045,yes
775,3.429274886,0.000654,no
776,4.164651748,3.70E-05,no
777,4.002168018,7.20E-05,no
778,4.248906554,2.60E-05,no
779,1.863665015,0.062945,yes
780,1.687638063,0.092095,yes
781,2.215228706,0.027187,no
782,3.993638875,7.50E-05,no
783,3.921854136,0.0001,no
784,2.742548167,0.006312,no
785,1.853688415,0.064363,yes
786,3.316924887,0.000975,no
787,3.387156511,0.000761,no
788,2.906845652,0.00381,no
789,2.347831412,0.019266,no
790,2.053619381,0.040524,no
791,3.498967825,0.000508,no
792,4.007149607,7.10E-05,no
793,3.261875809,0.001181,no
794,4.477772278,9.00E-06,no
