net_id,E-E,E-N,N-E,N-N
rand_0.1_403_net.csv,601,1418,1939,5097
rand_0.1_404_net.csv,582,1447,1948,5078
rand_0.1_405_net.csv,592,1440,1935,5088
rand_0.1_406_net.csv,596,1439,1928,5092
rand_0.1_407_net.csv,598,1413,1950,5094
rand_0.1_408_net.csv,592,1442,1933,5088
rand_0.1_409_net.csv,596,1433,1934,5092
rand_0.1_41_net.csv,596,1410,1957,5093
rand_0.1_410_net.csv,595,1428,1941,5091
rand_0.1_411_net.csv,596,1437,1930,5092
rand_0.1_412_net.csv,607,1448,1897,5103
rand_0.1_413_net.csv,600,1436,1923,5096
rand_0.1_414_net.csv,596,1445,1922,5092
rand_0.1_415_net.csv,596,1434,1933,5092
rand_0.1_416_net.csv,597,1447,1918,5093
rand_0.1_417_net.csv,611,1434,1903,5107
rand_0.1_418_net.csv,618,1415,1908,5114
rand_0.1_419_net.csv,612,1422,1913,5108
rand_0.1_42_net.csv,592,1417,1958,5089
rand_0.1_420_net.csv,605,1437,1912,5101
rand_0.1_421_net.csv,594,1445,1926,5090
rand_0.1_422_net.csv,589,1440,1941,5085
rand_0.1_423_net.csv,608,1423,1920,5104
rand_0.1_424_net.csv,605,1424,1925,5101
rand_0.1_425_net.csv,618,1399,1924,5114
rand_0.1_426_net.csv,623,1397,1916,5119
rand_0.1_427_net.csv,627,1389,1916,5123
rand_0.1_428_net.csv,610,1405,1934,5106
rand_0.1_429_net.csv,621,1403,1914,5117
rand_0.1_43_net.csv,589,1411,1970,5086
rand_0.1_430_net.csv,613,1400,1933,5109
rand_0.1_431_net.csv,603,1425,1928,5099
rand_0.1_432_net.csv,595,1434,1935,5091
rand_0.1_433_net.csv,590,1435,1944,5086
rand_0.1_434_net.csv,598,1434,1929,5094
rand_0.1_435_net.csv,605,1435,1914,5101
rand_0.1_436_net.csv,602,1441,1914,5098
rand_0.1_437_net.csv,605,1424,1925,5101
rand_0.1_438_net.csv,603,1430,1923,5099
rand_0.1_439_net.csv,603,1439,1914,5099
rand_0.1_44_net.csv,594,1416,1955,5091
rand_0.1_440_net.csv,600,1450,1909,5096
rand_0.1_441_net.csv,594,1472,1899,5090
rand_0.1_442_net.csv,612,1427,1908,5108
rand_0.1_443_net.csv,605,1428,1921,5101
rand_0.1_444_net.csv,611,1429,1908,5107
rand_0.1_445_net.csv,611,1398,1939,5107
rand_0.1_446_net.csv,606,1404,1943,5102
rand_0.1_447_net.csv,601,1391,1966,5097
rand_0.1_448_net.csv,605,1411,1938,5101
rand_0.1_449_net.csv,609,1426,1915,5105
rand_0.1_45_net.csv,595,1404,1965,5092
rand_0.1_450_net.csv,607,1431,1914,5103
